cidr,sblid,rir,type,timestamp,size,records,copyright,terms
46.173.219.0/24,SBL548705,ripencc,,,,,,
46.173.223.0/24,SBL548850,ripencc,,,,,,
46.173.240.0/20,SBL266465,ripencc,,,,,,
46.174.204.0/22,SBL463014,ripencc,,,,,,
49.89.240.0/22,SBL641952,apnic,,,,,,
49.156.160.0/19,SBL169202,apnic,,,,,,
49.238.64.0/18,SBL286276,apnic,,,,,,
57.14.0.0/15,SBL688338,ripencc,,,,,,
57.37.0.0/16,SBL679050,ripencc,,,,,,
58.2.0.0/17,SBL249532,apnic,,,,,,
58.14.0.0/15,SBL201384,apnic,,,,,,
59.155.0.0/16,SBL677406,apnic,,,,,,
60.200.0.0/16,SBL677715,apnic,,,,,,
60.233.0.0/16,SBL266791,apnic,,,,,,
61.11.224.0/19,SBL221384,apnic,,,,,,
61.45.251.0/24,SBL209995,apnic,,,,,,
62.60.130.0/24,SBL683637,ripencc,,,,,,
62.60.131.0/24,SBL688269,ripencc,,,,,,
62.60.135.0/24,SBL689243,ripencc,,,,,,
62.60.186.0/24,SBL656005,ripencc,,,,,,
62.60.188.0/22,SBL657458,ripencc,,,,,,
62.60.226.0/24,SBL671779,ripencc,,,,,,
62.204.41.0/24,SBL690073,ripencc,,,,,,
63.66.60.0/23,SBL529498,arin,,,,,,
63.80.8.0/22,SBL623896,arin,,,,,,
63.80.80.0/21,SBL624860,arin,,,,,,
63.106.68.0/22,SBL624888,arin,,,,,,
64.15.0.0/20,SBL530365,arin,,,,,,
64.89.160.0/23,SBL692141,arin,,,,,,
64.89.160.0/22,SBL692143,arin,,,,,,
64.92.224.0/20,SBL503523,arin,,,,,,
64.116.200.0/21,SBL635859,arin,,,,,,
64.250.144.0/20,SBL502906,arin,,,,,,
64.254.80.0/20,SBL546729,arin,,,,,,
65.162.110.0/23,SBL679683,arin,,,,,,
65.205.64.0/22,SBL623899,arin,,,,,,
65.216.208.0/21,SBL623885,arin,,,,,,
67.219.208.0/20,SBL634338,arin,,,,,,
69.5.189.0/24,SBL682243,ripencc,,,,,,
69.36.44.0/24,SBL669055,arin,,,,,,
69.165.0.0/20,SBL204706,arin,,,,,,
74.114.148.0/22,SBL288405,arin,,,,,,
76.74.0.0/24,SBL682547,arin,,,,,,
76.74.36.0/24,SBL682548,arin,,,,,,
76.74.40.0/24,SBL682546,arin,,,,,,
76.74.42.0/24,SBL620979,arin,,,,,,
76.74.52.0/24,SBL682549,arin,,,,,,
76.74.60.0/24,SBL682550,arin,,,,,,
76.74.78.0/24,SBL682551,arin,,,,,,
77.36.112.0/21,SBL638846,ripencc,,,,,,
77.47.152.0/22,SBL683453,ripencc,,,,,,
77.47.178.0/24,SBL654727,ripencc,,,,,,
77.47.242.0/24,SBL654726,ripencc,,,,,,
77.81.84.0/23,SBL493562,ripencc,,,,,,
77.81.86.0/24,SBL493581,ripencc,,,,,,
77.81.89.0/24,SBL493582,ripencc,,,,,,
77.83.39.0/24,SBL690639,ripencc,,,,,,
77.90.154.0/24,SBL681782,ripencc,,,,,,
77.90.185.0/24,SBL654925,ripencc,,,,,,
77.109.3.0/24,SBL679506,ripencc,,,,,,
77.221.134.0/24,SBL689985,ripencc,,,,,,
77.221.146.0/24,SBL689986,ripencc,,,,,,
77.244.221.0/24,SBL682827,ripencc,,,,,,
78.40.143.0/24,SBL627920,ripencc,,,,,,
78.153.140.0/24,SBL655362,ripencc,,,,,,
79.124.62.0/24,SBL683416,ripencc,,,,,,
79.141.79.0/24,SBL682556,ripencc,,,,,,
80.66.65.0/24,SBL683241,ripencc,,,,,,
80.66.75.0/24,SBL619693,ripencc,,,,,,
80.66.77.0/24,SBL622840,ripencc,,,,,,
80.94.92.0/24,SBL636056,ripencc,,,,,,
80.94.92.0/22,SBL682858,ripencc,,,,,,
80.94.95.0/24,SBL620743,ripencc,,,,,,
80.97.47.0/24,SBL689961,ripencc,,,,,,
80.97.160.0/24,SBL687500,ripencc,,,,,,
80.208.192.0/20,SBL594333,apnic,,,,,,
80.244.11.0/24,SBL641942,ripencc,,,,,,
81.30.107.0/24,SBL677595,ripencc,,,,,,
81.94.150.0/24,SBL639765,ripencc,,,,,,
81.94.159.0/24,SBL639846,ripencc,,,,,,
82.135.156.0/23,SBL619774,ripencc,,,,,,
82.135.228.0/22,SBL496439,ripencc,,,,,,
83.97.73.0/24,SBL640079,ripencc,,,,,,
83.142.209.0/24,SBL692142,ripencc,,,,,,
83.142.214.0/24,SBL688793,ripencc,,,,,,
83.175.0.0/18,SBL241020,ripencc,,,,,,
83.218.218.0/24,SBL528002,ripencc,,,,,,
84.54.33.0/24,SBL687511,ripencc,,,,,,
85.114.120.0/21,SBL639443,ripencc,,,,,,
85.121.236.0/24,SBL689706,ripencc,,,,,,
85.158.149.0/24,SBL619050,ripencc,,,,,,
85.192.49.0/24,SBL688280,ripencc,,,,,,
85.203.26.0/24,SBL635066,ripencc,,,,,,
85.208.212.0/22,SBL677714,ripencc,,,,,,
86.54.42.0/24,SBL675261,ripencc,,,,,,
86.104.222.0/23,SBL461195,ripencc,,,,,,
86.104.224.0/23,SBL461196,ripencc,,,,,,
86.105.2.0/24,SBL493587,ripencc,,,,,,
86.105.6.0/24,SBL493588,ripencc,,,,,,
86.105.176.0/24,SBL493589,ripencc,,,,,,
86.105.178.0/24,SBL493590,ripencc,,,,,,
86.105.186.0/24,SBL493881,ripencc,,,,,,
86.105.229.0/24,SBL493592,ripencc,,,,,,
86.105.230.0/24,SBL493593,ripencc,,,,,,
86.106.10.0/24,SBL493595,ripencc,,,,,,
86.106.13.0/24,SBL493596,ripencc,,,,,,
86.106.14.0/23,SBL493597,ripencc,,,,,,
86.106.80.0/24,SBL676378,ripencc,,,,,,
86.106.94.0/23,SBL493599,ripencc,,,,,,
86.106.104.0/24,SBL680571,ripencc,,,,,,
86.106.106.0/23,SBL493601,ripencc,,,,,,
86.106.110.0/23,SBL493605,ripencc,,,,,,
86.106.140.0/23,SBL461198,ripencc,,,,,,
86.106.174.0/23,SBL493627,ripencc,,,,,,
86.107.72.0/24,SBL493628,ripencc,,,,,,
86.107.193.0/24,SBL493629,ripencc,,,,,,
86.107.194.0/23,SBL493630,ripencc,,,,,,
86.111.228.0/24,SBL647008,ripencc,,,,,,
87.120.191.0/24,SBL683024,ripencc,,,,,,
87.121.79.0/24,SBL679671,ripencc,,,,,,
87.121.84.0/24,SBL683025,ripencc,,,,,,
87.228.25.0/24,SBL681696,ripencc,,,,,,
87.228.109.0/24,SBL692458,ripencc,,,,,,
87.228.110.0/24,SBL693159,ripencc,,,,,,
87.228.112.0/24,SBL682823,ripencc,,,,,,
87.228.112.0/22,SBL682824,ripencc,,,,,,
87.251.79.0/24,SBL654217,ripencc,,,,,,
88.210.63.0/24,SBL686328,ripencc,,,,,,
88.218.64.0/24,SBL682627,ripencc,,,,,,
89.18.16.0/22,SBL691132,ripencc,,,,,,
89.23.126.0/24,SBL682845,ripencc,,,,,,
89.32.43.0/24,SBL493631,ripencc,,,,,,
89.32.170.0/24,SBL493632,ripencc,,,,,,
89.32.202.0/24,SBL493882,ripencc,,,,,,
89.33.46.0/23,SBL493633,ripencc,,,,,,
89.33.134.0/24,SBL493635,ripencc,,,,,,
89.33.206.0/24,SBL493638,ripencc,,,,,,
89.33.250.0/23,SBL493639,ripencc,,,,,,
89.33.254.0/23,SBL493640,ripencc,,,,,,
89.34.0.0/24,SBL493883,ripencc,,,,,,
89.34.4.0/24,SBL493884,ripencc,,,,,,
89.34.102.0/24,SBL493641,ripencc,,,,,,
89.34.104.0/23,SBL493642,ripencc,,,,,,
89.35.89.0/24,SBL493647,ripencc,,,,,,
89.35.90.0/24,SBL461199,ripencc,,,,,,
89.36.136.0/24,SBL493649,ripencc,,,,,,
89.36.138.0/24,SBL493650,ripencc,,,,,,
89.36.141.0/24,SBL493651,ripencc,,,,,,
89.37.96.0/24,SBL493654,ripencc,,,,,,
89.38.240.0/24,SBL493660,ripencc,,,,,,
89.39.69.0/24,SBL461209,ripencc,,,,,,
89.39.215.0/24,SBL493663,ripencc,,,,,,
89.40.138.0/24,SBL493885,ripencc,,,,,,
89.40.207.0/24,SBL461200,ripencc,,,,,,
89.40.209.0/24,SBL493667,ripencc,,,,,,
89.41.50.0/23,SBL463471,ripencc,,,,,,
89.43.50.0/24,SBL518722,ripencc,,,,,,
89.45.82.0/24,SBL493676,ripencc,,,,,,
89.46.47.0/24,SBL493677,ripencc,,,,,,
89.190.156.0/24,SBL635688,ripencc,,,,,,
89.251.10.0/24,SBL679670,ripencc,,,,,,
91.92.240.0/22,SBL686267,ripencc,,,,,,
91.200.133.0/24,SBL494045,ripencc,,,,,,
91.200.164.0/22,SBL524130,ripencc,,,,,,
91.202.233.0/24,SBL677411,ripencc,,,,,,
91.203.192.0/24,SBL553887,ripencc,,,,,,
91.203.193.0/24,SBL563452,ripencc,,,,,,
91.204.224.0/22,SBL599737,ripencc,,,,,,
91.206.169.0/24,SBL687512,ripencc,,,,,,
91.212.166.0/24,SBL624670,ripencc,,,,,,
91.214.109.0/24,SBL680201,ripencc,,,,,,
91.215.85.0/24,SBL615768,ripencc,,,,,,
91.218.236.0/22,SBL461201,ripencc,,,,,,
91.220.163.0/24,SBL690067,ripencc,,,,,,
91.224.92.0/24,SBL642214,ripencc,,,,,,
91.229.52.0/22,SBL504770,ripencc,,,,,,
91.231.222.0/24,SBL689695,ripencc,,,,,,
91.232.18.0/24,SBL494046,ripencc,,,,,,
91.233.0.0/23,SBL442807,ripencc,,,,,,
91.235.130.0/23,SBL493678,ripencc,,,,,,
91.240.118.0/24,SBL636085,ripencc,,,,,,
91.243.93.0/24,SBL502562,ripencc,,,,,,
91.246.43.0/24,SBL618816,ripencc,,,,,,
91.246.176.0/21,SBL638847,ripencc,,,,,,
92.63.197.0/24,SBL686329,ripencc,,,,,,
92.87.6.0/24,SBL631194,ripencc,,,,,,
92.118.39.0/24,SBL636057,ripencc,,,,,,
92.119.162.0/24,SBL692155,ripencc,,,,,,
92.242.62.0/24,SBL691651,ripencc,,,,,,
92.255.57.0/24,SBL638391,ripencc,,,,,,
92.255.85.0/24,SBL638392,ripencc,,,,,,
93.114.51.0/24,SBL461206,ripencc,,,,,,
93.114.52.0/23,SBL461207,ripencc,,,,,,
93.114.54.0/24,SBL461208,ripencc,,,,,,
93.114.58.0/23,SBL493679,ripencc,,,,,,
93.114.99.0/24,SBL692102,ripencc,,,,,,
93.115.59.0/24,SBL493680,ripencc,,,,,,
93.119.118.0/23,SBL493681,ripencc,,,,,,
93.119.120.0/23,SBL493682,ripencc,,,,,,
